Questions,A,B,C,D (réponse troll),Réponse
Quelle mer borde le Nord-Pas-de-Calais ?,La Mer du Nord,La Mer Méditerranée,La Mer Caspienne,La Mer Noire,A
Qui est le meilleur ami de l’Homme?,Le chat,Le chien,Le lapin,Le blobfish,B
Qui est l’inventeur de la formule E = MC² ?,Kendgi Girac,Albert Einstein,Jean-Claude Vandamme,Xavier Dubart,B
Quel célèbre peintre est représenté sur les masques des braqueurs dans La Casa de Papel ?,Salvador Dali,Pablo Picasso,Léonard de Vinci,Léonardo di Caprio,A
Qui est l’inventeur de la poubelle ?,Eugène Delacroix,Eugène Ducretet,Eugène Poubelle,Sakura,C
Quel animal mythologique est un cheval avec une corne ?,La licorne,Le cerbère,Le dragon,Le checorne,A
Comment appelle-t-on le passage de la vapeur d’eau a l’eau liquide ?,La solidification,La sublimation,La condensation,L’eauification,C
Sur quel continent se trouve la France ?,L’Europe,L’Asie,L’Amerique du Nord,L’Océanie Centrale du Sud,A
Comment s’appelle le virus qui frappe le monde depuis 2020 ?,La Grippe,Le Covid-19,La Rougeole,Les Maths,B
Quel rappeur est également le nom d’une unité de mesure en physique ?,Gims,Black M,Jul,XXX Tentacion,C
Bonus : Quel est le nom du personnage principal de l’Attaque des Titans ?,Jöger,Jäger,Jÿger,Jogging,B
Bonus 2 : A quel temps est conjugué « J’ai mangé »,Au présent,Au futur,Au passé composé,Au futur conditionnel antérieur,C
